"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 17 13:27:37 GMT 2020","Thu Sep 17 13:27:37 GMT 2020","1","Surefire suite","Surefire test","io.qameta.allure.examples.testng.AllureParameterizedTest","io.qameta.allure.examples.testng.AllureParameterizedTest","allureParameterizedTest","allureParameterizedTest displayName","allureParameterizedTest description"
"passed","Thu Sep 17 13:27:37 GMT 2020","Thu Sep 17 13:27:37 GMT 2020","5","Surefire suite","Surefire test","io.qameta.allure.examples.testng.AllureParameterizedTest","io.qameta.allure.examples.testng.AllureParameterizedTest","allureFakeParameterizedTest","allureFakeParameterizedTest",""
"passed","Thu Sep 17 13:27:37 GMT 2020","Thu Sep 17 13:27:37 GMT 2020","1","Surefire suite","Surefire test","io.qameta.allure.examples.testng.AllureFixtureTest","io.qameta.allure.examples.testng.AllureFixtureTest","allureFixtureTest2","allureFixtureTest2",""
"passed","Thu Sep 17 13:27:37 GMT 2020","Thu Sep 17 13:27:37 GMT 2020","21","Surefire suite","Surefire test","io.qameta.allure.examples.testng.AllureSimpleTest","io.qameta.allure.examples.testng.AllureSimpleTest","allureSimpleTest","allureSimpleTest displayName",""
"passed","Thu Sep 17 13:27:37 GMT 2020","Thu Sep 17 13:27:37 GMT 2020","5","Surefire suite","Surefire test","io.qameta.allure.examples.testng.AllureFixtureTest","io.qameta.allure.examples.testng.AllureFixtureTest","allureFixtureTest","allureFixtureTest",""
"passed","Thu Sep 17 13:27:37 GMT 2020","Thu Sep 17 13:27:37 GMT 2020","1","Surefire suite","Surefire test","io.qameta.allure.examples.testng.AllureParameterizedTest","io.qameta.allure.examples.testng.AllureParameterizedTest","allureParameterizedTest","allureParameterizedTest displayName","allureParameterizedTest description"
