"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 25 14:27:56 GMT 2020","Tue Aug 25 14:27:56 GMT 2020","1","Surefire suite","Surefire test","io.qameta.allure.examples.testng.AllureFixtureTest","io.qameta.allure.examples.testng.AllureFixtureTest","allureFixtureTest2","allureFixtureTest2",""
"passed","Tue Aug 25 14:27:56 GMT 2020","Tue Aug 25 14:27:56 GMT 2020","1","Surefire suite","Surefire test","io.qameta.allure.examples.testng.AllureParameterizedTest","io.qameta.allure.examples.testng.AllureParameterizedTest","allureParameterizedTest","allureParameterizedTest displayName","allureParameterizedTest description"
"passed","Tue Aug 25 14:27:56 GMT 2020","Tue Aug 25 14:27:56 GMT 2020","1","Surefire suite","Surefire test","io.qameta.allure.examples.testng.AllureFixtureTest","io.qameta.allure.examples.testng.AllureFixtureTest","allureFixtureTest","allureFixtureTest",""
"passed","Tue Aug 25 14:27:56 GMT 2020","Tue Aug 25 14:27:56 GMT 2020","10","Surefire suite","Surefire test","io.qameta.allure.examples.testng.AllureParameterizedTest","io.qameta.allure.examples.testng.AllureParameterizedTest","allureFakeParameterizedTest","allureFakeParameterizedTest",""
"passed","Tue Aug 25 14:27:56 GMT 2020","Tue Aug 25 14:27:56 GMT 2020","1","Surefire suite","Surefire test","io.qameta.allure.examples.testng.AllureParameterizedTest","io.qameta.allure.examples.testng.AllureParameterizedTest","allureParameterizedTest","allureParameterizedTest displayName","allureParameterizedTest description"
"passed","Tue Aug 25 14:27:56 GMT 2020","Tue Aug 25 14:27:56 GMT 2020","31","Surefire suite","Surefire test","io.qameta.allure.examples.testng.AllureSimpleTest","io.qameta.allure.examples.testng.AllureSimpleTest","allureSimpleTest","allureSimpleTest displayName",""
